	ERR990557	ERR990558	ERR990559	ERR990560
bru1-PD	0	0	0	0
bru1-PE	1468	1797	196	582
bru1-PF	58	0	0	24
bru1-PG	26	41	44	60
bru1-PH	0	0	16	0
bru1-PI	0	0	16	0
bru1-PJ	0	0	16	0
bru1-PK	0	0	16	0
CG31759-PC	58	86	30	26
CG31759-PD	58	86	30	26
CG31862-PA	9	5	10	12
CG17010-PA	0	4	5	0
atilla-PB	10	7	32	28
atilla-PC	10	7	32	28
CG6583-PA	32	53	42	31
rho-6-PB	0	0	0	0
rho-6-PC	0	0	0	0
Rab6-PA	22	23	29	46
Rab6-PB	22	23	29	46
Patsas-PA	0	6	3	1
CG6712-PA	465	622	180	244
Pkd2-PA	0	2	8	8
CG6405-PA	4	0	10	2
CG6388-PA	307	401	146	176
eRF3-PA	261	355	121	248
eRF3-PD	261	355	121	248
eRF3-PB	261	355	121	248
eRF3-PC	650	524	507	456
Oatp33Eb-PA	19	39	59	49
Ref2-PA	0	0	0	0
Ref2-PB	0	0	0	0
Ref2-PC	0	0	0	0
t-cup-PA	7	4	1	10
CG5418-PA	0	2	2	0
CG5421-PA	0	0	0	2
CG5421-PB	0	0	0	2
Oatp33Ea-PA	2	8	15	14
Oatp33Ea-PB	2	8	15	14
CG5435-PA	2	0	0	1
CG5435-PB	2	0	0	1
CG5446-PA	38	32	34	28
CG5446-PB	0	0	0	0
CG5446-PC	38	32	34	28
pdm2-PB	0	0	2	1
pdm2-PA	0	0	0	1
pdm2-PC	0	0	2	1
pdm2-PD	0	0	2	1
CG6153-PA	77	67	36	37
CG6153-PC	77	67	36	37
PICK1-PA	24	0	0	34
PICK1-PB	0	6	5	0
PICK1-PD	0	6	5	0
PICK1-PE	0	0	0	0
PICK1-PF	0	6	5	0
spict-PA	0	0	61	0
spict-PB	63	81	78	167
CG6180-PA	765	915	398	573
kek1-PB	59	71	41	60
kek1-PC	59	71	41	60
CG15483-PA	0	0	0	0
CG5787-PA	186	185	77	143
CG5787-PB	186	185	77	143
CG15484-PA	9	5	9	20
CG5776-PA	126	154	35	48
CG5776-PB	126	154	35	48
CG17036-PA	6	7	7	8
CG17036-PB	6	7	7	8
CG5781-PA	0	0	0	0
CG5780-PB	8	16	3	18
CCT4-PA	1025	1051	357	551
CG15485-PA	0	0	0	0
CG15485-PB	0	0	0	0
ACXB-PA	0	0	0	0
ACXA-PA	0	0	0	0
ACXA-PC	0	0	4	0
ACXA-PD	0	0	0	0
ACXA-PH	0	0	0	0
ACXA-PG	0	0	0	0
ACXE-PB	0	0	0	0
CG16800-PB	0	0	0	0
Vha68-3-PA	0	0	0	0
Tor-PA	134	451	228	340
Tor-PB	381	14	145	159
CG5142-PC	0	0	0	0
CG5142-PD	0	0	0	0
A16-PA	190	119	127	137
CG9934-PA	336	299	241	344
CG9934-PB	336	299	241	344
CG12404-PA	59	57	55	67
CG5122-PA	0	0	0	0
Pk34A-PA	0	0	0	1
kmg-PA	0	1	11	7
Sirt1-PA	121	97	185	112
CG5439-PA	103	95	42	127
CG5287-PA	11	18	16	27
CG5458-PA	6	6	2	7
Edem2-PA	200	136	181	107
Edem2-PB	0	81	0	118
Pect-PB	38	0	16	132
Pect-PC	0	124	62	102
Pect-PD	355	387	127	259
Pect-PE	89	0	225	61
mRF1-PA	56	61	16	20
CG16812-PA	150	208	156	169
CG16813-PA	0	0	0	0
CG16813-PB	0	0	0	0
CG16815-PB	0	0	0	0
Prosalpha6T-PA	0	0	0	0
CG5867-PA	104	128	473	423
CG5945-PA	11	8	33	25
CG5945-PB	11	8	33	25
CG16820-PA	30	28	15	27
Naa20B-PA	0	0	0	0
Naa20B-PB	0	0	0	0
Uvrag-PA	276	34	0	404
Uvrag-PB	14	210	251	0
CG31729-PB	333	258	724	635
CG31729-PA	30	136	83	87
CG31729-PC	0	0	0	17
CG31729-PD	506	399	690	739
CG16825-PA	0	0	0	0
CG16825-PB	0	0	0	0
CG16826-PA	1	19	47	98
CG16826-PB	1	19	47	98
CG6523-PA	345	327	213	248
Tap42-PA	188	194	124	186
CG31855-PA	23	14	6	24
CG31855-PB	23	14	6	24
CG6565-PA	38	32	13	18
CG6565-PB	38	32	13	18
CG6565-PC	38	32	13	18
beta'COP-PA	793	857	640	752
CG9302-PA	267	222	101	137
Bdp1-PA	176	163	83	120
Bdp1-PB	0	34	0	0
ND-B22-PA	85	113	62	88
ND-B22-PB	85	113	62	88
Nnp-1-PA	1415	1894	497	918
CG9377-PA	0	0	0	0
CG9395-PC	0	1	0	3
CG9395-PD	0	1	0	3
Drep4-PA	130	108	48	129
CG31848-PB	3	6	4	6
CG31730-PA	0	0	0	0
Mabi-PA	0	0	0	0
CG15480-PA	0	0	0	0
Ski6-PA	40	47	7	24
Ski6-PB	40	47	7	24
CG9426-PA	84	70	69	93
kek4-PA	0	0	0	0
kek4-PB	0	0	0	0
kek4-PC	0	0	0	0
CG15482-PA	2	3	0	2
CG16972-PA	285	286	151	242
CG16974-PA	402	350	314	450
CG16974-PB	402	350	314	450
CG31849-PA	33	28	14	13
Sfmbt-PA	0	0	6	51
Sfmbt-PB	171	152	29	73
Sfmbt-PC	100	51	152	142
Sfmbt-PD	171	152	29	73
DnaJ-H-PB	4	11	0	9
DnaJ-H-PA	4	11	0	9
DnaJ-H-PC	113	120	221	183
CG16978-PB	10	6	1	1
CG9928-PA	78	108	148	73
CG9928-PB	78	108	148	73
CG7099-PA	127	127	56	114
CG7110-PB	177	152	128	167
CG7110-PC	177	152	128	167
CG16848-PA	0	0	0	0
Tehao-PA	1	2	4	1
Tehao-PB	1	2	4	1
CG16852-PA	0	1	3	2
CG16853-PA	1	1	3	1
CG16853-PB	1	1	3	1
ics-PA	47	45	79	69
ics-PB	47	45	79	69
ics-PC	47	45	79	69
CG9254-PA	2	9	0	0
B4-PA	120	109	78	117
B4-PB	120	109	78	117
B4-PC	120	109	78	117
CG9263-PA	6	4	5	6
CG15638-PA	0	2	0	5
Hsp60D-PA	0	0	0	0
Hsp60D-PB	0	0	0	0
CG9267-PA	96	96	84	99
CG16956-PA	0	0	0	0
Vm34Ca-PA	4	4	2	2
CG10859-PA	1	1	2	1
CG10859-PB	1	1	2	1
CG16957-PA	0	0	1	3
CG16957-PB	0	0	1	3
RpL24-PA	853	1042	496	786
RpL24-PB	853	1042	496	786
RpL24-PC	853	1042	496	786
Ing5-PA	32	103	102	85
Ing5-PB	67	6	32	31
CG18507-PA	0	0	0	72
CG18507-PB	0	0	0	0
CG18507-PC	25	26	68	0
CG18507-PD	0	0	0	8
CG18507-PE	0	0	0	8
CG7311-PE	0	0	0	0
CG7311-PD	0	0	0	0
CG31813-PA	0	0	0	0
CG31813-PB	0	0	0	0
TM9SF4-PA	94	89	90	110
TM9SF4-PB	94	89	90	110
p38b-PA	96	94	69	61
CG31731-PB	538	574	917	942
CG31731-PC	3	11	4	36
CG16863-PB	23	15	16	14
CG16863-PA	0	0	0	0
Sec71-PA	230	262	373	282
CAH1-PA	23	31	190	133
CG16865-PA	36	47	24	40
CG16865-PB	36	47	24	40
Sos-PA	221	196	222	230
Orc5-PA	103	85	43	67
RpII33-PA	124	180	114	131
CenG1A-PB	78	93	47	24
CenG1A-PA	8	0	48	52
CenG1A-PC	0	0	0	0
CG7916-PA	11	21	96	229
CG7953-PA	8	8	51	113
CG7953-PB	8	8	51	113
CG7968-PA	4	14	24	50
Ance-PA	24	36	68	24
Ance-PB	24	36	68	24
Ance-PC	24	36	68	24
Ance-2-PA	1	2	0	0
Acyp-PA	0	0	0	0
Acyp-PB	0	0	0	0
CG16884-PA	2	4	0	1
CG16886-PA	0	0	0	0
CG16886-PB	3	0	13	3
Smg5-PA	127	109	178	190
Smg5-PB	127	109	178	190
Smg5-PC	127	109	178	190
CG8997-PA	11	14	93	169
CG8997-PB	11	14	93	169
CG33306-PA	7	7	51	53
CG33307-PA	4	4	12	9
CG33307-PB	4	4	12	9
Arpc1-PB	39	45	59	60
Arpc1-PA	39	45	59	60
tam-PA	207	166	76	160
CG16888-PA	0	2	1	4
Adat1-PA	29	21	7	10
Adat1-PB	29	21	7	10
CG16890-PA	45	45	34	36
CG16890-PD	4	0	0	15
CG16890-PC	45	45	34	36
CG9014-PA	0	0	0	0
CG9014-PB	0	0	0	0
CG31814-PA	0	0	0	0
CG31814-PB	0	2	0	1
NimB1-PA	0	7	21	17
NimB1-PB	4	0	1	1
NimB5-PA	5	5	15	10
NimB5-PB	5	5	15	10
NimB5-PC	5	5	15	10
Cyp28a5-PA	24	42	97	78
NimC2-PB	0	4	0	12
NimC2-PA	2	0	26	0
NimC2-PC	0	4	0	12
bgm-PA	92	80	61	63
bgm-PC	92	80	61	63
hll-PA	2	7	7	38
nAChRalpha5-PB	0	0	0	3
nAChRalpha5-PD	0	0	0	3
nAChRalpha5-PH	0	0	0	3
CG31769-PA	60	41	63	42
CG15293-PA	204	238	887	271
CG15293-PC	204	238	887	271
CG18095-PA	0	0	63	67
CG18095-PC	0	0	63	67
CG18095-PB	30	43	151	30
NimC3-PB	1	1	0	0
rk-PA	29	17	63	56
He-PB	1	0	1	2
He-PC	1	0	1	2
NimB4-PA	6	5	50	48
NimB2-PA	108	71	262	222
CG32971-PA	0	1	1	1
CG32971-PB	0	1	1	1
CG32971-PC	0	1	1	1
CG33090-PB	137	76	19	107
CG33090-PC	0	57	13	0
CG33090-PD	0	0	0	0
CG33090-PE	6	0	90	0
CG15286-PA	0	0	1	1
CG15286-PB	0	0	1	1
Rab14-PA	28	23	34	27
Rab14-PB	28	35	0	14
Rab14-PD	28	23	34	27
Pgant35A-PA	76	123	39	51
CG15283-PB	0	0	0	0
Cpr35B-PA	0	0	0	0
elB-PC	25	26	40	45
elB-PD	2	2	4	0
ppk-PA	0	0	2	6
mTTF-PA	92	112	25	51
noc-PA	34	29	40	37
noc-PB	34	29	40	37
CG15282-PA	0	0	0	0
CG15282-PC	0	0	0	0
CG15282-PB	0	0	0	0
CG3473-PA	0	0	0	0
CG3473-PB	0	0	0	0
CG31835-PA	0	0	0	0
CG4691-PA	0	0	1	0
CSN1a-PA	0	0	0	0
CG4701-PA	0	1	0	0
CG3491-PA	1	0	2	9
ProtB-PA	0	0	0	0
ProtA-PA	0	0	3	0
ProtA-PB	0	0	3	0
CG15278-PA	0	0	0	0
CG15278-PB	0	0	0	0
CG15278-PC	0	0	0	0
CG4480-PB	0	0	0	0
CG4480-PC	0	0	0	0
CG15279-PB	0	18	78	27
CG15279-PA	0	18	78	27
CG15279-PD	44	0	69	52
CG18420-PA	0	0	0	0
CG4650-PB	6	3	0	0
CG4650-PC	2	0	0	0
CG31775-PA	7	1	3	9
CG31775-PB	7	1	3	9
DCTN5-p25-PA	21	35	21	36
NC2beta-PA	43	60	53	86
l(2)35Bd-PA	121	158	45	85
GABA-B-R1-PB	2	1	4	4
GABA-B-R1-PC	2	1	4	4
CG33310-PB	0	1	0	1
yellow-c-PA	35	15	45	47
yellow-c-PB	35	15	45	47
Su(H)-PA	35	28	17	31
Su(H)-PC	35	28	17	31
CG15270-PA	0	0	0	0
CG15270-PB	0	1	0	1
CG15270-PC	0	0	0	0
CG15270-PD	0	0	0	0
CG15270-PE	0	0	0	0
CG15270-PF	0	0	0	0
CG15269-PA	0	0	0	0
stc-PB	196	181	0	49
stc-PA	500	623	308	511
stc-PC	0	0	0	0
stc-PD	0	0	22	0
dao-PA	13	13	8	12
dao-PB	13	13	8	12
dao-PC	0	0	0	0
ZnT35C-PA	263	272	182	61
ZnT35C-PB	0	42	0	52
CG4168-PC	2	1	0	0
CG4168-PB	2	1	0	0
vig-PD	175	179	176	171
vig-PC	175	179	176	171
vig-PA	175	179	176	171
vig-PB	175	179	176	171
TfIIS-PA	65	65	27	41
TfIIS-PB	65	65	27	41
ck-PA	94	79	72	78
ck-PB	94	79	72	78
ck-PC	94	79	72	78
ck-PD	94	79	72	78
CIAPIN1-PA	114	100	92	136
CG31832-PB	0	1	0	1
CG15263-PA	0	2	0	0
ms(2)35Ci-PA	0	0	0	0
ms(2)35Ci-PC	0	0	0	0
CG15262-PA	0	0	0	9
esg-PA	2	0	0	1
CG4161-PA	0	0	0	0
CG4161-PB	0	0	0	0
sna-PA	0	0	0	0
wor-PA	0	0	0	0
CG15258-PA	0	0	0	0
nht-PB	0	0	0	1
CG15260-PB	0	0	0	0
CG15256-PB	0	0	0	0
CG15256-PC	0	0	0	0
kek3-PA	0	0	0	1
kek3-PB	0	0	0	1
CG11865-PA	0	0	0	0
CG7631-PA	0	3	4	2
CG18480-PA	1	5	19	12
CG18480-PB	1	5	19	12
CG18480-PC	1	5	19	12
CG18477-PA	8	2	1	2
CG18478-PA	0	0	0	0
CG31780-PB	8	2	1	2
CG31827-PA	0	0	0	0
Mtr4-PA	524	611	225	408
CG3793-PA	0	44	33	38
CG3793-PB	39	0	0	0
CG31826-PB	11	14	42	49
CG31826-PC	11	14	42	49
Ku80-PA	108	114	115	190
wek-PA	55	50	52	33
wek-PB	55	50	52	33
Gli-PA	5	5	17	21
Gli-PC	5	5	17	21
Gli-PD	5	5	17	21
Gli-PE	5	5	17	21
Gli-PF	5	5	17	21
ND-B17-PA	57	66	42	47
ND-B17-PC	57	66	42	47
CG4587-PH	0	0	0	0
CG4587-PI	0	0	0	0
CG4587-PJ	1	0	4	1
CG4587-PK	1	0	4	1
CG4587-PL	1	0	4	1
CG4587-PM	1	0	4	1
CG4587-PN	1	0	4	1
CG4587-PO	1	0	4	1
Or35a-PB	0	0	0	0
CG15253-PA	0	2	4	6
CG15254-PA	0	4	22	9
CG15254-PB	0	4	22	9
Semp1-PA	0	0	0	0
CG15255-PA	5	17	23	23
CG15255-PB	5	17	23	23
CG18109-PA	0	1	2	0
CG13243-PA	0	0	0	0
CG13243-PB	0	0	0	0
Tektin-A-PA	0	0	0	1
Tektin-A-PB	0	0	0	1
CG31735-PA	0	0	0	0
CG31735-PC	0	0	0	0
CG13244-PA	0	0	1	0
CG4793-PD	0	0	4	0
CG12448-PC	0	0	0	0
CG18063-PC	0	0	0	0
CG18063-PD	0	0	0	0
CG18063-PE	0	0	0	0
CG10839-PA	0	0	0	0
CG10839-PC	0	0	0	0
CG10839-PB	0	0	0	0
beat-Ic-PA	1	2	0	0
beat-Ic-PB	1	2	0	0
beat-Ic-PC	1	2	0	0
CG13245-PA	0	0	0	0
CG13245-PC	0	0	0	0
CG13245-PB	0	0	0	0
BicC-PB	615	747	57	135
BicC-PD	0	0	0	0
BicC-PA	615	747	57	135
beat-Ia-PA	0	1	0	1
beat-Ia-PB	0	0	0	0
CG31820-PA	0	0	0	0
CG31820-PB	0	0	0	0
beat-Ib-PA	1	1	0	0
beat-Ib-PB	1	1	0	0
CG31821-PA	1	5	19	11
CG31821-PB	1	5	19	11
CG31823-PA	1	0	5	2
Tep1-PA	4	2	6	2
CG7653-PB	0	0	0	0
CG18518-PA	0	0	0	2
CG4891-PA	0	0	0	0
CG4892-PA	0	0	0	0
CG31819-PA	0	0	0	0
EndoGI-PA	60	83	64	87
EndoGI-PB	60	83	64	87
EndoGI-PC	60	83	64	87
CG4935-PA	6	10	2	20
pkaap-PA	202	197	196	224
CG17329-PA	0	0	0	4
Cyp303a1-PA	2	0	1	6
Cyp303a1-PB	2	0	1	6
CG17328-PA	32	34	19	39
CG17328-PB	14	0	0	0
c(2)M-PA	193	217	45	111
Syx5-PB	208	190	265	252
Syx5-PA	208	190	265	252
fzy-PA	230	243	109	237
CG4278-PA	307	337	139	161
CG4440-PA	0	0	0	0
CG4440-PB	0	0	0	0
CG4455-PA	15	15	8	18
CaBP1-PA	113	108	96	95
CaBP1-PB	113	108	96	95
chif-PA	404	102	0	581
chif-PB	92	241	276	13
chif-PD	92	241	276	13
CG31817-PB	31	24	22	36
mRpL4-PA	149	156	88	90
cact-PA	61	82	82	99
cact-PB	61	82	82	99
cact-PC	524	270	348	283
cact-PD	61	82	82	99
cact-PE	61	82	82	99
cni-PA	12	17	11	12
cni-PB	12	17	11	12
cni-PC	12	17	11	12
CG5861-PA	118	137	92	115
GMF-PA	78	54	65	79
heix-PA	32	33	55	84
CG13258-PA	0	0	0	0
CG13258-PB	0	0	0	0
crp-PA	199	209	103	173
crp-PB	199	209	103	173
twe-PA	30	30	9	17
twe-PB	30	30	9	17
twe-PC	30	30	9	17
twe-PD	30	30	9	17
PRL-1-PA	67	76	80	74
PRL-1-PB	67	76	80	74
PRL-1-PC	67	76	80	74
PRL-1-PD	67	76	80	74
Idgf1-PA	67	57	327	190
Idgf2-PA	100	124	290	212
Idgf2-PC	13	0	108	0
Idgf2-PB	13	0	108	0
Idgf3-PC	63	64	126	142
Idgf3-PB	63	64	126	142
Idgf3-PA	63	64	126	142
Idgf3-PD	63	64	126	142
CG4580-PA	0	0	0	1
Tpr2-PA	591	659	365	496
Tpr2-PB	0	7	15	0
Tpr2-PC	0	0	0	0
Tpr2-PD	591	659	365	496
Tpr2-PE	0	7	15	0
CG31816-PA	0	0	0	0
CG31815-PA	31	13	26	16
CG4631-PA	41	24	57	54
CG5968-PA	0	0	0	0
CG5968-PB	0	0	0	0
CG5953-PA	79	64	23	44
CG5953-PB	79	64	23	44
CG5953-PC	3	7	6	0
CG5953-PD	79	64	23	44
CG5888-PA	12	11	11	18
CG5888-PB	12	11	11	18
her-PA	79	74	49	66
her-PB	79	74	49	66
CG31812-PB	10	14	10	20
CG17904-PA	112	140	36	93
ChLD3-PA	5	3	0	1
BuGZ-PA	63	30	60	33
BuGZ-PB	0	0	12	3
BuGZ-PE	0	0	0	0
BuGZ-PF	15	30	27	45
BuGZ-PG	44	75	0	48
BuGZ-PC	0	0	12	3
BuGZ-PD	0	0	12	3
yellow-b-PA	3	10	27	9
yellow-b-PB	3	10	27	9
CG17928-PA	13	8	59	42
CG17928-PB	13	8	59	42
Ugt36Ba-PA	0	3	16	14
Ugt36Ba-PB	0	3	16	14
Ugt36Bb-PA	0	0	0	5
Ugt36Bc-PA	11	24	113	67
Ugt36Bc-PB	11	24	113	67
Ugt36Bc-PC	11	24	113	67
mdy-PA	34	44	36	39
mdy-PB	34	44	36	39
mdy-PC	34	44	36	39
mdy-PE	34	44	36	39
AspRS-m-PA	226	241	143	196
AspRS-m-PB	226	241	143	196
AspRS-m-PC	226	241	143	196
CG6012-PA	2	5	2	17
CG31809-PB	8	12	0	0
CG31809-PC	8	12	0	0
CG31810-PA	0	0	33	14
CG13284-PA	15	0	23	0
CG13284-PB	0	1	1	2
CG13284-PE	15	0	23	0
CG13284-PC	0	48	77	97
CG13284-PD	0	1	1	2
CG13283-PA	8	21	36	17
CG13282-PA	65	44	161	114
CG13282-PB	65	44	161	114
Cse1-PA	952	877	403	632
CG13280-PA	0	0	0	0
CG13280-PB	0	0	0	0
ppk17-PA	1	1	2	1
ppk17-PB	1	1	2	1
glu-PA	841	929	592	1143
Prosbeta4-PA	167	146	73	132
Prosbeta4-PB	167	146	73	132
CG17996-PA	41	83	81	88
VhaSFD-PA	46	106	172	136
VhaSFD-PB	61	45	90	99
VhaSFD-PD	42	0	0	0
VhaSFD-PE	46	106	172	136
CG31808-PC	7	3	9	6
CG31807-PA	6	8	0	10
CG31807-PB	0	0	5	0
Trpgamma-PA	26	13	10	0
Trpgamma-PB	26	13	10	0
Trpgamma-PD	0	18	240	207
CG31743-PA	28	34	68	96
CG31743-PB	28	34	68	96
beat-IIIb-PC	0	0	0	0
beat-IIIb-PD	0	0	0	0
CG31806-PA	0	0	0	1
CG31806-PB	0	0	0	1
CG15136-PA	0	0	0	0
CG15136-PB	0	0	0	0
CG6304-PA	0	0	1	1
CG6304-PB	0	0	1	1
ApepP-PA	192	220	177	230
ApepP-PB	192	220	177	230
CG12288-PA	488	648	145	216
CG31805-PD	0	2	0	0
CG31805-PB	4	4	2	4
CG31805-PC	0	0	0	0
CG6115-PA	9	16	12	15
CG6115-PB	9	16	12	15
CG32832-PA	0	0	0	0
CG32832-PB	0	0	0	0
Gr36a-PA	0	0	0	0
Gr36b-PA	0	0	2	0
Gr36c-PA	0	0	0	2
CG31750-PA	0	0	0	0
CG31804-PA	0	0	0	0
Lrch-PA	118	115	0	222
Lrch-PB	21	0	38	75
Lrch-PC	107	133	249	124
CG6380-PA	0	0	0	0
CG6380-PB	0	0	0	0
beat-IIIc-PA	14	0	28	25
beat-IIIc-PB	15	23	29	10
CG31784-PC	0	0	0	0
CLIP-190-PA	659	204	0	2
CLIP-190-PC	7	12	548	458
CLIP-190-PB	0	2	0	2
CLIP-190-PM	41	0	42	0
CLIP-190-PN	0	0	0	1
CLIP-190-PO	20	53	190	180
CLIP-190-PI	0	0	43	24
CLIP-190-PJ	11	10	0	67
CLIP-190-PV	0	0	141	28
CLIP-190-PP	0	409	142	301
CLIP-190-PQ	19	9	34	5
CLIP-190-PR	0	2	0	0
CLIP-190-PS	0	0	0	0
CLIP-190-PT	0	0	0	0
CG15141-PA	117	133	117	100
CG5043-PA	2	0	0	1
CG5050-PA	1	4	3	3
CG5050-PB	1	4	3	3
Sgt-PA	374	473	207	305
Sgt-PB	374	473	207	305
CG5110-PA	30	24	14	25
CG5110-PB	30	24	14	25
CG5131-PA	41	84	14	34
Dhc36C-PB	175	98	68	96
Oli-PA	0	0	0	0
Oli-PD	0	0	0	0
Oli-PB	0	0	0	0
Oli-PC	0	0	0	0
CG15147-PA	0	0	0	0
CG6870-PA	0	0	0	1
CG6870-PB	0	0	0	1
CG7094-PA	0	0	0	0
CG15145-PA	0	0	0	0
CG15144-PB	0	2	0	3
CG15143-PA	8	2	4	4
mEFTs-PA	355	379	144	215
CG15142-PA	14	11	4	10
qua-PA	200	212	49	123
qua-PB	0	0	13	0
qua-PC	0	0	0	0
GCS2beta-PA	285	288	238	270
GCS2beta-PB	285	288	238	270
fws-PC	47	39	29	35
fws-PA	47	39	29	35
fws-PD	47	39	29	35
fws-PH	47	39	29	35
fws-PI	47	39	29	35
Aac11-PA	999	1153	565	912
BicD-PA	110	232	127	253
BicD-PC	110	232	127	253
BicD-PD	361	289	325	108
BicD-PB	184	2	0	31
CG18563-PB	1	5	8	17
SPH93-PA	82	47	275	79
Dif-PA	18	17	43	32
Dif-PB	18	17	43	32
Dif-PC	157	116	278	271
Dif-PD	18	17	43	32
CG31803-PA	0	0	2	0
Rpb11-PA	82	94	37	69
CG5674-PA	0	0	0	0
CG5674-PB	20	13	15	25
CG5674-PE	13	3	5	15
CG5674-PD	0	6	0	0
CG5681-PA	0	0	4	6
Prosbeta5R2-PA	0	0	0	0
Prosbeta5R2-PB	0	0	0	0
CG5693-PA	0	0	0	0
CG31740-PA	0	0	0	0
Arr1-PA	0	0	0	0
Arr1-PB	0	0	0	0
Arr1-PC	0	0	0	1
ninaD-PA	75	40	26	106
ninaD-PB	6	34	41	7
CG31741-PA	0	1	0	0
CG5755-PA	0	2	0	0
CG15152-PA	0	1	4	2
CG15152-PB	0	1	4	2
Socs36E-PA	0	0	0	0
Socs36E-PC	0	0	0	0
Socs36E-PD	126	120	121	163
CG31785-PB	13	3	35	11
CG15153-PA	1	0	0	0
elfless-PB	0	0	1	5
elfless-PC	0	0	1	5
btv-PD	25	36	29	36
CG15155-PA	0	40	578	161
CG15155-PB	15	0	0	0
CG5783-PA	30	11	57	42
CG5790-PA	0	0	0	1
CG5790-PB	0	0	0	1
Fas3-PA	9	32	0	0
Fas3-PB	8	0	0	0
Fas3-PC	47	62	229	233
Fas3-PD	43	42	84	110
Fas3-PE	43	42	84	110
Fas3-PG	68	58	244	288
Fas3-PF	8	0	0	0
Acp36DE-PA	3	1	25	13
Acp36DE-PB	3	1	25	13
CG31787-PA	0	0	0	0
CG31788-PA	0	0	0	0
CG31788-PB	0	0	0	0
CG31802-PA	0	0	0	0
CG7200-PA	75	64	43	57
CG7200-PB	75	64	43	57
Ntf-2r-PA	0	1	4	2
grnd-PB	4	2	14	5
grnd-PC	4	2	14	5
CG10178-PA	39	37	194	166
CG10178-PB	39	37	194	166
CG10211-PA	11	6	17	12
CG10211-PB	11	6	17	12
CG15160-PA	170	77	0	212
CG15160-PB	38	40	113	1
CG15160-PC	0	94	0	0
CG31789-PA	0	0	0	0
CG31789-PB	0	0	0	0
CG31789-PC	0	0	0	0
CG10333-PA	404	478	234	401
MESR3-PA	0	0	9	13
MESR3-PB	65	43	98	98
MESR3-PC	0	0	9	13
MESR3-PD	0	0	0	0
Cyp310a1-PA	11	12	30	30
CG15161-PA	0	0	0	0
Atac2-PA	110	111	55	97
CG10413-PA	89	66	187	185
CG10413-PB	89	66	187	185
amos-PA	0	0	0	0
kon-PB	31	33	99	79
kon-PC	31	33	99	79
kon-PD	31	33	99	79
CG10283-PA	200	214	176	290
CG10283-PB	200	214	176	290
CG10283-PC	49	28	0	19
CG10283-PD	49	28	0	19
CG10336-PA	42	43	28	45
CG10336-PC	42	43	28	45
CG10338-PA	24	28	19	28
CG10338-PB	24	28	19	28
CG10341-PA	528	642	106	204
CG10341-PC	41	0	0	0
CG10343-PA	148	195	97	91
Grip71-PA	204	194	67	150
CG15167-PA	0	0	0	0
CG17325-PA	2	0	0	1
CG17325-PB	2	0	0	1
CG17325-PC	2	0	0	1
CG17324-PB	2	0	9	8
CG17323-PA	21	24	35	50
CG17323-PE	21	24	35	50
CG17323-PC	21	24	35	50
CG17323-PD	21	24	35	50
CG17322-PC	20	17	1	4
CG17322-PD	20	17	1	4
CG17322-PA	20	17	1	4
CG17322-PB	20	17	1	4
ScpX-PA	271	335	357	436
CG17321-PA	0	3	1	0
CG17321-PB	0	3	1	0
tup-PA	2	0	8	0
tup-PB	0	0	0	1
tup-PC	2	0	8	0
CG33120-PA	27	25	114	47
CG31752-PB	0	0	0	0
CG10600-PC	0	0	0	0
CG10600-PA	81	109	199	230
CG10600-PB	118	65	27	0
CG17597-PA	89	132	88	74
CG17597-PB	89	132	88	74
CG10570-PA	7	11	51	45
CG10570-PC	7	11	51	45
CG10570-PB	7	11	51	45
ham-PB	14	0	21	22
ham-PC	14	0	21	22
ham-PD	14	0	21	22
ham-PE	13	26	123	76
ham-PF	19	30	0	0
CG10348-PC	2	1	0	0
CG10348-PB	2	1	0	0
Irk3-PA	15	33	157	78
Irk3-PC	0	0	0	0
Irk3-PD	0	0	0	0
Faf2-PA	109	111	122	123
Faf2-PB	109	111	122	123
Jwa-PB	95	86	94	117
CG10376-PA	109	94	79	127
msl-1-PA	471	448	197	268
msl-1-PB	471	448	197	268
tos-PA	336	394	121	183
CG10428-PA	287	344	175	252
Tango6-PA	180	137	57	122
CG10431-PA	10	17	15	12
CG10431-PB	10	17	15	12
CG15168-PA	95	86	58	105
CG15169-PA	0	2	1	0
CG31792-PB	2	2	21	2
CG31792-PC	2	2	21	2
CG31793-PA	39	52	78	221
CG31793-PC	160	175	86	5
robl37BC-PA	0	0	0	0
CG15172-PA	0	0	0	1
CG15172-PB	0	0	0	1
CG15172-PC	0	0	0	1
CG15172-PD	0	0	0	1
Sidpn-PA	0	1	0	0
Catsup-PA	317	369	384	483
CG10470-PA	263	283	184	162
CG10492-PA	73	85	56	67
CG10492-PB	73	85	56	67
Phlpp-PA	1	2	0	1
Phlpp-PB	1	2	0	1
CG10495-PA	82	92	25	20
CG17343-PA	11	13	16	21
CG17344-PA	0	0	0	1
amd-PB	1	0	6	2
amd-PA	1	0	8	2
CG10561-PA	27	22	28	35
brat-PA	20	13	0	27
brat-PB	20	13	0	27
brat-PC	20	13	0	27
brat-PF	20	13	0	27
brat-PE	367	438	242	282
l(2)37Cc-PB	69	74	31	41
l(2)37Cc-PA	69	74	31	41
l(2)37Cc-PD	69	74	31	41
Ddc-PB	2	3	15	7
Ddc-PC	0	0	0	0
Ddc-PD	2	3	15	7
Lim3-PB	0	0	0	0
Lim3-PA	0	0	0	0
Lim3-PC	0	0	0	0
